wrapped_2025_rank,artist_name,monthly_listeners_millions_mar2026,primary_genre,country,followers_millions,grammy_wins,debut_year,gender,top_2025_song,dataset_part
1,The Weeknd,110.4,R&B/Pop,Canada,112,4,2010,Male,Die With A Smile,Spotify Wrapped 2025 Top 50 Artists
2,Taylor Swift,107.5,Pop/Country,USA,110,14,2006,Female,Fortnight,Spotify Wrapped 2025 Top 50 Artists
3,Drake,88.6,Hip-Hop,Canada,95,4,2006,Male,Amen,Spotify Wrapped 2025 Top 50 Artists
4,Bad Bunny,84.2,Reggaeton,Puerto Rico,89,0,2016,Male,NUEVAYoL,Spotify Wrapped 2025 Top 50 Artists
5,Sabrina Carpenter,82.1,Pop,USA,58,0,2015,Female,Espresso,Spotify Wrapped 2025 Top 50 Artists
6,Billie Eilish,78.5,Indie Pop,USA,110,9,2015,Female,Birds Of A Feather,Spotify Wrapped 2025 Top 50 Artists
7,Ed Sheeran,76.3,Pop/Folk,UK,115,4,2011,Male,Azizam,Spotify Wrapped 2025 Top 50 Artists
8,Ariana Grande,72.8,Pop/R&B,USA,94,2,2013,Female,we can't be friends,Spotify Wrapped 2025 Top 50 Artists
9,Kendrick Lamar,71.5,Hip-Hop,USA,52,17,2003,Male,Not Like Us,Spotify Wrapped 2025 Top 50 Artists
10,Harry Styles,70.2,Pop,UK,80,0,2010,Male,Music For a Sushi Restaurant,Spotify Wrapped 2025 Top 50 Artists
11,Post Malone,68.7,Hip-Hop/Pop,USA,62,0,2015,Male,I Had Some Help,Spotify Wrapped 2025 Top 50 Artists
12,BTS,66.4,K-Pop,South Korea,75,0,2013,Group,Dynamite,Spotify Wrapped 2025 Top 50 Artists
13,Olivia Rodrigo,64.8,Pop/Indie,USA,56,5,2021,Female,Vampire,Spotify Wrapped 2025 Top 50 Artists
14,KAROL G,63.5,Reggaeton,Colombia,50,1,2017,Female,Baile Inolvidable,Spotify Wrapped 2025 Top 50 Artists
15,Dua Lipa,62.1,Pop/Dance,UK,82,2,2017,Female,Illusion,Spotify Wrapped 2025 Top 50 Artists
16,Lady Gaga,60.8,Pop,USA,98,13,2008,Female,Die With A Smile,Spotify Wrapped 2025 Top 50 Artists
17,Bruno Mars,59.4,Pop/R&B,USA,65,15,2010,Male,APT.,Spotify Wrapped 2025 Top 50 Artists
18,Chappell Roan,58.2,Synth-Pop,USA,40,1,2017,Female,"Good Luck, Babe!",Spotify Wrapped 2025 Top 50 Artists
19,SZA,57.8,R&B,USA,48,4,2012,Female,Saturn,Spotify Wrapped 2025 Top 50 Artists
20,Morgan Wallen,56.3,Country,USA,44,0,2018,Male,I Had Some Help,Spotify Wrapped 2025 Top 50 Artists
21,Imagine Dragons,55.1,Alt Rock,USA,68,1,2009,Group,Eyes Closed,Spotify Wrapped 2025 Top 50 Artists
22,Eminem,54.8,Hip-Hop,USA,72,15,1996,Male,Houdini,Spotify Wrapped 2025 Top 50 Artists
23,Miley Cyrus,53.4,Pop,USA,60,2,2006,Female,Flowers,Spotify Wrapped 2025 Top 50 Artists
24,Doja Cat,52.7,Pop/Hip-Hop,USA,44,3,2018,Female,Nissan Altima,Spotify Wrapped 2025 Top 50 Artists
25,ROSE,51.8,K-Pop/Pop,South Korea,38,0,2016,Female,APT.,Spotify Wrapped 2025 Top 50 Artists
26,Beyoncé,50.9,R&B/Country,USA,85,32,2003,Female,Texas Hold 'Em,Spotify Wrapped 2025 Top 50 Artists
27,Tyla,49.7,Afrobeats,South Africa,30,1,2023,Female,Water,Spotify Wrapped 2025 Top 50 Artists
28,Shaboozey,48.5,Country/Hip-Hop,USA,28,0,2022,Male,A Bar Song,Spotify Wrapped 2025 Top 50 Artists
29,Coldplay,47.8,Alt Rock,UK,65,7,1997,Group,feelslikeimfallinginlove,Spotify Wrapped 2025 Top 50 Artists
30,Justin Bieber,46.5,Pop,Canada,96,2,2009,Male,Peaches,Spotify Wrapped 2025 Top 50 Artists
31,Peso Pluma,45.8,Regional Mexican,Mexico,30,0,2020,Male,La Durango,Spotify Wrapped 2025 Top 50 Artists
32,Lana Del Rey,44.6,Indie Pop,USA,48,0,2010,Female,Did you know that there's a tunnel,Spotify Wrapped 2025 Top 50 Artists
33,Gracie Abrams,43.7,Indie Pop,USA,25,0,2020,Female,That's So True,Spotify Wrapped 2025 Top 50 Artists
34,Tate McRae,42.9,Pop,Canada,28,0,2020,Female,Exes,Spotify Wrapped 2025 Top 50 Artists
35,Hozier,42.1,Indie Folk,Ireland,30,0,2014,Male,Too Sweet,Spotify Wrapped 2025 Top 50 Artists
36,Benson Boone,41.4,Pop Rock,USA,22,0,2022,Male,Beautiful Things,Spotify Wrapped 2025 Top 50 Artists
37,Teddy Swims,40.8,R&B/Soul,USA,18,0,2020,Male,Lose Control,Spotify Wrapped 2025 Top 50 Artists
38,Noah Kahan,39.9,Indie Folk,USA,20,0,2019,Male,Stick Season,Spotify Wrapped 2025 Top 50 Artists
39,Djo,38.7,Indie Rock,USA,15,0,2019,Male,End Of Beginning,Spotify Wrapped 2025 Top 50 Artists
40,Jimin (BTS),37.8,K-Pop/Pop,South Korea,22,0,2013,Male,Who,Spotify Wrapped 2025 Top 50 Artists
41,Laufey,36.9,Jazz/Indie Pop,Iceland,18,1,2020,Female,From The Start,Spotify Wrapped 2025 Top 50 Artists
42,Jack Harlow,35.8,Hip-Hop,USA,24,0,2018,Male,Lovin On Me,Spotify Wrapped 2025 Top 50 Artists
43,Rema,34.7,Afrobeats,Nigeria,20,0,2019,Male,Calm Down,Spotify Wrapped 2025 Top 50 Artists
44,NewJeans,33.8,K-Pop,South Korea,18,0,2022,Group,Super Shy,Spotify Wrapped 2025 Top 50 Artists
45,Kali Uchis,32.9,R&B/Latin,Colombia/USA,15,0,2012,Female,Muñequita,Spotify Wrapped 2025 Top 50 Artists
46,Tommy Richman,31.8,R&B/Pop,USA,12,0,2022,Male,Million Dollar Baby,Spotify Wrapped 2025 Top 50 Artists
47,Chayanne,29.8,Latin Pop,Puerto Rico,12,0,1984,Male,Boom,Spotify Wrapped 2025 Top 50 Artists
48,Zach Bryan,28.7,Country/Folk,USA,22,0,2020,Male,Pink Skies,Spotify Wrapped 2025 Top 50 Artists
49,Laufey,27.9,Jazz/Indie Pop,Iceland,18,1,2020,Female,Valentine,Spotify Wrapped 2025 Top 50 Artists
50,Ice Spice,27.6,Hip-Hop,USA,14,0,2021,Female,Think U the Best,Spotify Wrapped 2025 Top 50 Artists
